red,nodo,grado
autor-autor,UC9Wp6vL5oCU37qC3Aj94WZA,6
autor-autor,UC9vMq1YF-e7C-VO0SHkbUTA,127
autor-autor,UC9xr9QvIcDvoZNUX5f-jaZw,127
autor-autor,UCA93ym2TXs_Ibyxb4Vcn-6Q,127
autor-autor,UCAKuKvcbfnBD3kF5njNu-IA,48
autor-autor,UCAV7QIjYhbDJaycQycM_0eQ,18
autor-autor,UCAlzM_N6xBlMYmM8EBzX86Q,127
autor-autor,UCAmtbUiIrUIhikru0ZoTFig,127
autor-autor,UCAxvOOHQk7dYPOajzFEVtbA,12
autor-autor,UCB5p8a5gklc80jJItP6xTHg,127
autor-autor,UCBlm80VQ4YoV3bUJR_XhkaQ,17
autor-autor,UCBtB5dIyx-C16UN8ClUD2UA,6
autor-autor,UCCBYcToQ2dwkd6TJh0FSyDg,48
autor-autor,UCCUmP4PlbwgikVFpYwbtRTg,15
autor-autor,UCCaYwkkbQGcvFoUmothVdQQ,127
autor-autor,UCDIMztpVm7G27qBuiWuT6oQ,127
autor-autor,UCDPWkUX3sNNaCx-m1dV4glA,127
autor-autor,UCDQaQv0hr2SS_PO-CMEwVHg,127
autor-autor,UCDUffaruH6dyUnUGwsTKpgg,127
autor-autor,UCDftMWXQoJ6nONfY7GVOVjg,127
autor-autor,UCDlr1VadSucIZgZ171pRBjQ,127
autor-autor,UCDrmf9y9nLgFY5wnA2hTuGA,48
autor-autor,UCEHXl4VvvVpq-_4xC5tsbhg,31
autor-autor,UCEgEQmRbtL5fwr9_DqAC--g,127
autor-autor,UCErZPJpHmLCsXs8ZWkAUupQ,127
autor-autor,UCFFrEmn6lPYiWyElpfzTy5Q,6
autor-autor,UCFOxCyF926Y9eHhMeVoWLzw,24
autor-autor,UCFUuDARXdmmIrLppEqf-rFg,127
autor-autor,UCFhxtoeARHPnXXPcDrOU3Xg,127
autor-autor,UCFjudnPLoaSL1BaRuLahyHg,127
autor-autor,UCFoIAE8k82D6AV-8gjjKaNg,127
autor-autor,UCFxE8GbokBrBsPEKM1xrOjQ,127
autor-autor,UCFybmWapGvBKcQod7cPPH9w,31
autor-autor,UCGGHbtfbbe0o68etrOf0qxw,48
autor-autor,UCGX_UbAQOXGZknv5iqklwTA,18
autor-autor,UCGZMgmM92E3njyXNe9-kjAQ,17
autor-autor,UCGj2v6Gl5bN8NSrzJMXS-CA,5
autor-autor,UCGm3gRBEHGRJYmtCryZLtDw,6
autor-autor,UCGqKxQS-z3NZzZF-2w338AA,24
autor-autor,UCGzXwyCzMzGmjmCbH3Hg01Q,127
autor-autor,UCHGd14aYuZZShLD73dkk6mg,2
autor-autor,UCHMQ_lDhibZ-XZ_3fo6oxwg,24
autor-autor,UCHTGCgY2l-DQJIvlA_cpa_Q,145
autor-autor,UCHbwIx9pmQuf7i-4_xO2EpA,48
